"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio","third_down_attempts","third_down_conversions","fourth_down_attempts","fourth_down_conversions","total_late_attempts","total_late_conversions","conversion_rate","dropbacks","sacks","sack_rate","success_plays","total_plays","success_rate"
2020,"ARI",685,428,4102,2257,1.60046728971963,209,87,27,18,236,105,0.444915254237288,685,29,0.0423357664233577,510,1113,0.45822102425876
2020,"ATL",722,389,4620,1544,1.8560411311054,232,109,28,17,260,126,0.484615384615385,722,41,0.056786703601108,492,1111,0.442844284428443
2020,"BAL",587,562,3320,3471,1.04448398576512,242,118,23,13,265,131,0.494339622641509,587,41,0.0698466780238501,516,1149,0.449086161879896
2020,"BUF",841,403,5603,2011,2.08684863523573,234,114,14,12,248,126,0.508064516129032,841,35,0.0416171224732461,620,1244,0.498392282958199
2020,"CAR",657,366,4129,1715,1.79508196721311,203,84,29,16,232,100,0.431034482758621,657,36,0.0547945205479452,469,1023,0.458455522971652
2020,"CHI",723,385,4124,1706,1.87792207792208,220,77,30,18,250,95,0.38,723,37,0.0511756569847856,481,1108,0.434115523465704
2020,"CIN",680,388,3793,1676,1.75257731958763,223,80,28,19,251,99,0.394422310756972,680,48,0.0705882352941176,472,1068,0.441947565543071
2020,"CLE",657,515,4168,2631,1.27572815533981,231,107,29,12,260,119,0.457692307692308,657,27,0.0410958904109589,545,1172,0.465017064846416
2020,"DAL",731,411,4511,1793,1.77858880778589,222,92,31,17,253,109,0.430830039525692,731,44,0.0601915184678523,528,1142,0.462346760070053
2020,"DEN",652,411,3673,1935,1.58637469586375,226,97,18,6,244,103,0.422131147540984,652,32,0.049079754601227,428,1063,0.402634054562559
2020,"DET",681,354,4397,1506,1.92372881355932,206,89,20,10,226,99,0.438053097345133,681,42,0.0616740088105727,471,1035,0.455072463768116
2020,"GB",699,459,4941,2394,1.52287581699346,219,117,22,14,241,131,0.54356846473029,699,26,0.0371959942775393,592,1158,0.511226252158895
2020,"HOU",687,281,4843,1476,2.44483985765125,194,86,16,9,210,95,0.452380952380952,687,50,0.0727802037845706,462,968,0.477272727272727
2020,"IND",656,486,4495,2178,1.34979423868313,220,95,31,20,251,115,0.458167330677291,656,21,0.0320121951219512,530,1142,0.464098073555166
2020,"JAX",715,318,3955,1523,2.24842767295597,212,88,28,8,240,96,0.4,715,44,0.0615384615384615,433,1033,0.419167473378509
2020,"KC",879,404,5921,2157,2.17574257425743,235,112,24,14,259,126,0.486486486486487,879,29,0.0329920364050057,648,1283,0.505066250974279
2020,"LA",721,499,4541,2297,1.44488977955912,254,107,20,8,274,115,0.41970802919708,721,32,0.0443828016643551,550,1220,0.450819672131148
2020,"LAC",723,437,4548,1793,1.65446224256293,235,111,26,12,261,123,0.471264367816092,723,34,0.0470262793914246,508,1160,0.437931034482759
2020,"LV",641,430,4383,1926,1.4906976744186,210,101,24,17,234,118,0.504273504273504,641,28,0.0436817472698908,508,1071,0.474323062558357
2020,"MIA",661,392,3937,1704,1.68622448979592,208,83,14,10,222,93,0.418918918918919,661,34,0.0514372163388805,494,1053,0.469135802469136
2020,"MIN",612,462,4265,2291,1.32467532467532,193,80,25,14,218,94,0.431192660550459,612,39,0.0637254901960784,529,1074,0.492551210428305
2020,"NE",525,472,3124,2358,1.11228813559322,189,81,17,9,206,90,0.436893203883495,525,37,0.0704761904761905,463,997,0.464393179538616
2020,"NO",673,522,4400,2513,1.28927203065134,240,118,16,11,256,129,0.50390625,673,30,0.0445765230312036,569,1195,0.476150627615063
2020,"NYG",631,363,3336,1787,1.73829201101928,208,80,23,14,231,94,0.406926406926407,631,50,0.0792393026941363,419,994,0.421529175050302
2020,"NYJ",608,371,3115,1690,1.63881401617251,216,79,18,7,234,86,0.367521367521368,608,43,0.0707236842105263,401,979,0.409601634320735
